,transaction_id,product_id,customer_id,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,tenure,DOB_year,DOB_month,DOB_day,DOB_day_of_week,transaction_date_year,transaction_date_month,transaction_date_day,transaction_date_day_of_week,owns_car_Yes,deceased_indicator_Y,online_order_1.0,order_status_Cancelled
13,14,16,2717,2,3,1,3,1661.92,1479.11,34586.0,1,31.0,135,3,2,13.0,1981,3,25,2,1970,1,1,3,False,False,False,False
14,15,12,247,0,3,3,1,1765.3,709.48,38193.0,0,62.0,166,2,1,13.0,1983,5,6,4,1970,1,1,3,True,False,False,False
15,16,3,2961,5,3,3,1,2091.47,388.92,37873.0,1,56.0,22,3,2,12.0,1975,3,22,5,1970,1,1,3,True,False,False,False
16,17,79,2426,2,3,3,2,1555.58,818.01,38206.0,2,64.0,106,4,0,10.683238709017441,1977,8,31,2,1970,1,1,3,True,False,False,False
17,18,33,1842,0,3,3,3,1311.44,1167.18,33888.0,1,89.0,9,2,2,8.0,1977,2,27,6,1970,1,1,3,False,False,False,False
18,19,54,2268,6,3,3,2,1292.84,13.44,39915.0,0,66.0,118,3,2,19.0,1965,10,7,3,1970,1,1,3,False,False,True,False
19,20,25,3002,0,2,3,2,1538.99,829.65,37337.0,1,62.0,116,2,2,16.0,1956,12,6,3,1970,1,1,3,True,False,True,False
20,21,27,1582,5,3,3,2,499.53,388.72,36334.0,1,32.0,113,7,2,4.0,1978,1,14,5,1970,1,1,3,False,False,False,False
21,22,37,595,3,3,2,2,1793.43,248.82,36361.0,1,72.0,184,2,2,22.0,1973,5,12,5,1970,1,1,3,False,False,True,False
22,23,37,2001,3,3,2,2,1793.43,248.82,42145.0,0,21.0,20,5,2,3.0,1977,10,6,3,1970,1,1,3,True,False,True,False
23,24,82,515,0,2,3,2,1538.99,829.65,42404.0,0,55.0,87,4,1,8.0,1989,9,4,0,1970,1,1,3,False,False,False,False
24,25,89,2822,6,4,3,1,1362.99,57.74,34079.0,0,83.0,121,6,2,3.0,1981,5,14,3,1970,1,1,3,False,False,False,False
25,26,64,2596,5,3,3,1,1469.44,596.55,42145.0,0,51.0,24,6,0,13.0,1976,8,20,4,1970,1,1,3,True,False,False,False
26,27,64,2666,5,3,3,1,1469.44,596.55,41047.0,1,2.0,110,3,2,9.0,1971,2,16,1,1970,1,1,3,False,False,True,False
27,28,19,76,5,0,2,2,574.64,459.71,42560.0,0,20.0,171,8,1,18.0,1978,1,23,0,1970,1,1,3,True,False,False,False
28,29,72,3368,2,3,3,2,360.4,270.3,42710.0,0,7.0,182,2,0,16.0,1967,7,17,0,1970,1,1,3,False,False,True,False
29,30,91,1173,6,3,2,2,642.31,513.85,41922.0,0,58.0,173,8,1,16.0,1978,3,2,3,1970,1,1,3,False,False,False,False
30,31,88,2810,2,3,3,2,1198.46,381.1,37539.0,1,27.0,106,7,2,15.0,1961,8,26,5,1970,1,1,3,True,False,True,False
31,32,1,3214,0,3,3,2,1403.5,954.82,42688.0,0,2.0,158,2,2,9.0,1993,1,21,3,1970,1,1,3,True,False,False,False
32,33,25,1272,0,2,3,2,1538.99,829.65,42404.0,0,2.0,106,5,0,17.0,1985,4,4,3,1970,1,1,3,False,False,False,False
33,34,99,2003,5,2,2,3,1720.7,1531.42,38991.0,0,80.0,172,5,1,8.0,1962,6,21,3,1970,1,1,3,True,False,True,False
34,35,0,2171,2,2,3,2,544.05,376.84,38647.0,0,21.0,118,3,1,10.0,1970,2,10,1,1970,1,1,3,False,False,False,False
35,36,92,3356,6,3,3,3,1415.01,1259.36,37874.0,1,47.0,143,2,2,6.0,1959,3,23,0,1970,1,1,3,True,False,False,False
36,37,14,1040,4,3,1,1,1842.92,1105.75,34996.0,0,78.0,74,3,1,9.0,1975,3,4,1,1970,1,1,3,False,False,False,False
37,38,2,2916,4,3,3,2,71.49,53.62,33549.0,1,23.0,120,5,0,9.0,1969,8,3,6,1970,1,1,3,True,False,False,False
38,39,12,427,6,3,3,2,1231.15,161.6,38693.0,1,77.0,23,1,2,2.0,1996,12,19,3,1970,1,1,3,True,False,False,False
39,40,0,2448,2,2,3,2,544.05,376.84,38647.0,0,5.0,174,7,1,10.0,1992,12,18,4,1970,1,1,3,False,False,True,False
40,41,44,2570,6,3,3,2,1769.64,108.76,37668.0,1,13.0,121,2,2,18.0,1977,9,10,5,1970,1,1,3,True,False,True,False
41,42,79,3398,4,4,3,1,2083.94,675.03,41533.0,1,69.0,106,6,1,7.0,1971,7,1,3,1970,1,1,3,True,False,False,False
42,43,76,488,6,3,2,2,642.31,513.85,41922.0,0,24.0,87,7,2,10.0,1980,7,11,4,1970,1,1,3,True,False,False,True
43,44,46,165,4,3,2,2,1289.85,74.51,37668.0,1,61.0,19,0,2,12.0,1984,3,25,6,1970,1,1,3,True,False,False,False
44,45,55,2787,5,2,3,1,1894.19,598.76,42172.0,0,92.0,99,6,0,6.0,1980,9,26,4,1970,1,1,3,True,False,True,False
45,46,66,3053,4,3,3,2,1163.89,589.27,42560.0,0,67.0,0,8,1,17.0,1984,9,12,2,1970,1,1,3,False,False,False,False
46,47,35,475,5,3,2,2,1057.51,154.4,34527.0,1,0.0,107,5,0,1.0,1996,11,14,3,1970,1,1,3,False,False,True,False
47,48,81,1305,4,3,3,2,1151.96,649.49,41009.0,1,97.0,71,2,1,6.0,1970,3,1,6,1970,1,1,3,True,False,True,False
48,49,86,1251,3,3,3,2,235.63,125.07,38206.0,1,63.0,57,7,2,2.0,1997,10,1,2,1970,1,1,3,False,False,False,False
49,50,32,3103,0,3,3,2,642.7,211.37,37337.0,0,5.0,143,8,2,20.0,1953,10,21,2,1970,1,1,3,False,False,False,False
50,51,77,3108,2,2,3,1,1240.31,795.1,40553.0,1,94.0,12,1,2,10.0,1967,10,1,6,1970,1,1,3,False,False,False,False
51,52,96,857,0,3,3,1,1635.3,993.66,39427.0,0,15.0,76,6,1,4.0,1964,8,14,4,1970,1,1,3,False,False,False,False
52,53,6,3455,3,3,1,2,227.88,136.73,33549.0,1,29.0,19,6,2,11.0,1954,2,25,3,1970,1,1,3,True,False,True,False
53,54,27,2549,5,3,3,2,499.53,388.72,34527.0,1,12.0,118,3,2,4.0,1998,8,7,4,1970,1,1,3,True,False,True,False
54,55,0,3140,2,3,2,2,363.01,290.41,38482.0,0,2.0,97,5,1,16.0,1985,6,11,1,1970,1,1,3,False,False,False,False
55,56,47,3406,5,2,2,3,1720.7,1531.42,35470.0,0,35.0,38,4,2,10.0,1979,4,28,5,1970,1,1,3,True,False,False,False
56,57,94,2294,0,3,3,1,1635.3,993.66,41434.0,1,25.0,25,5,2,21.0,1987,6,16,1,1970,1,1,3,False,False,True,False
57,58,91,1031,4,3,3,2,100.35,75.26,36367.0,1,75.0,96,5,2,6.0,1983,9,15,3,1970,1,1,3,False,False,False,False
58,59,93,993,3,3,1,2,1458.17,874.9,38750.0,0,71.0,0,0,1,17.0,1977,2,18,4,1970,1,1,3,False,False,True,False
59,60,60,3473,0,3,1,3,1977.36,1759.85,41848.0,2,34.0,20,4,2,10.683238709017441,1977,8,31,2,1970,1,1,3,False,False,False,False
60,61,0,1839,3,2,1,1,12.01,7.21,34244.0,0,60.0,95,1,1,5.0,1987,5,8,4,1970,1,1,3,True,False,False,False
61,62,33,1824,0,3,3,3,1311.44,1167.18,33888.0,0,12.0,144,5,0,5.0,1959,10,12,0,1970,1,1,3,True,False,True,False
62,63,35,368,0,3,3,2,1403.5,954.82,42688.0,0,32.0,106,2,1,6.0,1986,11,26,2,1970,1,1,3,False,False,False,False
63,64,0,2000,5,3,3,2,499.53,388.72,39031.0,2,68.0,24,4,1,10.683238709017441,1977,8,31,2,1970,1,1,3,True,False,False,False
64,65,28,825,2,3,3,3,1216.14,1082.36,42696.0,1,17.0,48,6,0,16.0,1975,8,15,4,1970,1,1,3,True,False,True,False
65,66,86,3315,3,3,3,2,235.63,125.07,36367.0,0,77.0,1,7,2,5.0,1994,9,8,3,1970,1,1,3,True,False,True,False
66,67,2,75,4,3,3,2,71.49,53.62,41245.0,0,28.0,185,7,2,19.0,1978,7,15,5,1970,1,1,3,False,False,True,False
67,68,4,1498,0,3,1,2,1129.13,677.48,38258.0,0,84.0,108,6,0,13.0,1989,9,27,2,1970,1,1,3,True,False,True,False
68,69,38,1612,5,3,3,1,2091.47,388.92,41167.0,1,70.0,43,2,1,22.0,1987,4,17,4,1970,1,1,3,True,False,True,False
69,70,27,2192,5,3,3,2,499.53,388.72,36334.0,1,93.0,166,6,2,14.0,1966,8,27,5,1970,1,1,3,False,False,True,False
70,71,54,419,6,3,3,2,1292.84,13.44,39915.0,0,34.0,184,5,0,17.0,1981,1,26,0,1970,1,1,3,False,False,False,False
71,72,77,3307,6,3,3,2,1769.64,108.76,40672.0,0,96.0,21,3,1,14.0,1978,9,2,5,1970,1,1,3,False,False,True,False
72,73,22,2430,6,3,3,2,60.34,45.26,34165.0,1,38.0,132,6,2,5.0,1968,9,6,4,1970,1,1,3,False,False,False,False
73,74,56,1506,3,3,3,2,183.86,137.9,35707.0,1,21.0,106,7,2,17.0,1958,2,21,4,1970,1,1,3,False,False,True,False
74,75,58,1346,3,3,3,2,912.52,141.4,42295.0,1,9.0,18,9,2,19.0,1970,6,19,4,1970,1,1,3,False,False,False,False
75,76,22,927,6,3,3,2,60.34,45.26,33552.0,1,25.0,49,2,2,18.0,1966,2,19,5,1970,1,1,3,True,False,False,False
76,77,50,763,6,3,3,3,175.89,131.92,37668.0,0,95.0,48,5,0,12.0,1987,11,5,3,1970,1,1,3,False,False,False,False
77,78,80,2397,3,4,2,2,1073.07,933.84,36145.0,1,33.0,21,8,0,4.0,1985,6,10,0,1970,1,1,3,True,False,False,False
78,79,87,102,0,3,1,2,1179.0,707.4,35667.0,1,51.0,131,5,0,16.0,1956,11,27,1,1970,1,1,3,False,False,True,False
79,80,15,2884,2,3,2,2,958.74,748.9,38693.0,0,99.0,24,6,2,15.0,1962,1,6,5,1970,1,1,3,False,False,False,False
80,81,84,759,0,2,3,2,792.9,594.68,33879.0,1,89.0,42,3,1,13.0,1963,4,18,3,1970,1,1,3,False,False,True,False
81,82,21,773,4,3,3,1,1071.23,380.74,40670.0,1,77.0,106,2,0,20.0,1985,2,12,1,1970,1,1,3,True,False,True,False
82,83,0,3398,3,3,3,2,235.63,125.07,37626.0,1,69.0,106,6,1,7.0,1971,7,1,3,1970,1,1,3,True,False,True,False
83,84,33,3297,0,3,3,3,1311.44,1167.18,33888.0,1,39.0,120,5,2,13.0,1975,4,26,5,1970,1,1,3,False,False,True,False
84,85,84,2434,5,2,3,2,290.62,215.14,38339.0,1,40.0,69,6,0,18.0,1956,11,17,5,1970,1,1,3,False,False,True,False
85,86,1,1861,0,3,3,2,1403.5,954.82,38258.0,0,26.0,77,5,2,8.0,1967,7,18,1,1970,1,1,3,True,False,False,False
86,87,27,1233,5,3,3,2,499.53,388.72,33455.0,0,17.0,106,8,0,16.0,1978,7,7,4,1970,1,1,3,True,False,False,False
87,88,31,1390,6,3,3,2,752.64,205.36,34079.0,0,74.0,10,8,1,1.0,2000,1,25,1,1970,1,1,3,True,False,False,False
88,89,0,2682,3,2,1,1,12.01,7.21,40303.0,0,54.0,8,5,1,20.0,1987,11,1,6,1970,1,1,3,True,False,True,False
89,90,62,439,4,3,3,2,478.16,298.72,34143.0,0,26.0,75,6,0,10.0,1974,7,8,0,1970,1,1,3,False,False,True,False
90,91,17,1579,4,3,1,2,1024.66,614.8,35160.0,0,40.0,57,2,0,17.0,1978,1,27,4,1970,1,1,3,True,False,True,False
91,92,73,2984,4,3,3,2,1945.43,333.18,36668.0,0,48.0,117,5,2,13.0,1959,5,23,5,1970,1,1,3,True,False,True,False
92,93,33,3470,0,3,3,3,1311.44,1167.18,36498.0,0,56.0,134,3,0,6.0,1967,10,1,6,1970,1,1,3,True,False,True,False
93,94,86,1,3,3,3,2,235.63,125.07,38482.0,0,93.0,71,3,2,11.0,1953,10,12,0,1970,1,1,3,True,False,False,False
94,95,45,757,4,3,3,2,441.49,84.99,34071.0,1,91.0,70,2,2,18.0,1977,5,13,4,1970,1,1,3,False,False,False,False
95,96,1,1778,0,3,3,2,1403.5,954.82,40649.0,0,72.0,167,6,2,2.0,2000,7,30,6,1970,1,1,3,True,False,False,False
96,97,80,211,3,4,2,2,1073.07,933.84,38339.0,0,6.0,184,5,2,5.0,1974,3,4,0,1970,1,1,3,True,False,True,False
97,98,49,333,5,2,3,2,533.51,400.13,37823.0,0,25.0,146,2,0,8.0,1965,6,20,6,1970,1,1,3,True,False,False,False
98,99,95,32,0,3,3,1,569.56,528.43,37874.0,0,17.0,97,5,0,4.0,1995,4,20,3,1970,1,1,3,False,False,False,False
99,100,0,119,4,3,3,2,478.16,298.72,36146.0,1,9.0,25,6,1,9.0,1981,12,4,4,1970,1,1,3,True,False,False,False
100,101,18,2347,2,3,1,2,1148.64,689.18,42226.0,0,79.0,122,6,1,11.0,1957,3,4,0,1970,1,1,3,False,False,False,False
101,102,4,2353,0,3,1,2,1129.13,677.48,40649.0,1,93.0,86,3,0,12.0,1978,12,27,2,1970,1,1,3,True,False,False,False
102,103,33,788,0,3,3,3,1311.44,1167.18,33888.0,1,62.0,154,3,2,11.0,1964,7,1,2,1970,1,1,3,False,False,False,False
103,104,78,1468,0,3,3,1,1765.3,709.48,38193.0,0,37.0,72,2,2,22.0,1978,1,10,1,1970,1,1,3,False,False,False,False
104,105,89,821,6,4,3,1,1362.99,57.74,41434.0,1,41.0,73,2,2,7.0,1981,7,24,4,1970,1,1,3,True,False,False,False
105,106,70,2489,5,3,1,2,495.72,297.43,42105.0,0,42.0,164,8,2,15.0,1976,6,12,5,1970,1,1,3,False,False,False,False
106,107,79,2710,2,3,3,2,1555.58,818.01,37873.0,1,77.0,106,8,2,2.0,1998,1,30,4,1970,1,1,3,False,False,False,False
107,108,26,947,6,3,3,2,1992.93,762.63,34115.0,0,43.0,118,3,2,10.0,1986,3,10,0,1970,1,1,3,False,False,True,False
108,109,39,1335,0,3,3,1,1812.75,582.48,38991.0,0,57.0,106,1,2,3.0,1997,8,14,3,1970,1,1,3,True,False,True,False
109,110,36,1076,4,3,2,2,945.04,507.58,35052.0,1,33.0,118,3,0,2.0,2000,6,6,1,1970,1,1,3,False,False,False,False
110,111,0,3320,3,3,2,2,71.16,56.93,42172.0,0,16.0,107,5,1,6.0,1994,6,2,3,1970,1,1,3,False,False,True,False
111,112,84,779,0,2,3,2,792.9,594.68,33879.0,0,1.0,167,3,1,7.0,1992,2,10,0,1970,1,1,3,False,False,False,False
112,113,98,3296,5,3,1,2,358.39,215.03,33364.0,0,78.0,132,2,0,17.0,1974,11,11,0,1970,1,1,3,True,False,True,False
113,114,75,455,0,4,3,1,1873.97,863.95,37873.0,1,97.0,41,5,2,5.0,1991,11,2,5,1970,1,1,3,True,False,True,False
114,115,76,1779,6,3,2,2,642.31,513.85,38482.0,1,55.0,94,0,0,5.0,1996,11,19,1,1970,1,1,3,False,False,False,False
115,116,72,2703,2,3,3,2,360.4,270.3,40553.0,0,37.0,106,5,0,18.0,1980,4,12,5,1970,1,1,3,True,False,True,False
116,117,42,806,3,2,3,3,1810.0,1610.9,34071.0,1,66.0,147,8,2,7.0,1992,7,28,1,1970,1,1,3,True,False,False,False
117,118,20,22,5,3,3,3,1775.81,1580.47,40303.0,0,79.0,106,4,2,11.0,1962,12,10,0,1970,1,1,3,False,False,False,False
118,119,64,1591,5,3,3,1,1469.44,596.55,38647.0,1,4.0,115,5,2,14.0,1976,9,14,1,1970,1,1,3,True,False,False,False
119,120,0,678,5,3,1,2,495.72,297.43,42105.0,0,57.0,11,4,1,2.0,1995,8,31,3,1970,1,1,3,False,False,False,False
120,121,25,50,0,2,3,2,1538.99,829.65,33888.0,1,38.0,1,5,2,16.0,1980,10,1,2,1970,1,1,3,True,False,False,False
121,122,24,1038,4,2,3,1,1777.8,820.78,34115.0,2,57.0,65,5,2,10.683238709017441,1977,8,31,2,1970,1,1,3,True,False,True,False
122,123,31,1453,6,3,3,2,752.64,205.36,42218.0,1,54.0,45,3,1,13.0,1977,7,30,5,1970,1,1,3,False,False,True,False
123,124,98,1339,3,3,3,2,795.34,101.58,35470.0,0,82.0,63,4,1,14.0,1978,12,9,5,1970,1,1,3,False,False,False,False
124,125,22,3382,4,3,3,2,575.27,431.45,41345.0,1,90.0,38,6,1,10.0,1977,12,17,5,1970,1,1,3,False,False,True,False
125,126,53,773,3,3,3,2,795.34,101.58,37823.0,1,77.0,106,2,0,20.0,1985,2,12,1,1970,1,1,3,True,False,False,False
126,127,84,2503,5,2,3,2,290.62,215.14,38482.0,1,80.0,34,3,0,10.0,1967,7,16,6,1970,1,1,3,True,False,True,False
127,128,25,1057,0,2,3,2,1538.99,829.65,42404.0,0,73.0,135,3,2,5.0,1969,4,6,6,1970,1,1,3,False,False,False,False
128,129,50,1397,6,3,3,3,175.89,131.92,42295.0,1,29.0,97,5,2,14.0,1979,1,21,6,1970,1,1,3,True,False,False,False
129,130,44,2134,6,3,3,2,1769.64,108.76,40672.0,1,16.0,108,5,0,2.0,2000,2,21,0,1970,1,1,3,False,False,False,False
130,131,96,2403,6,2,2,3,1172.78,1043.77,37539.0,0,41.0,182,2,0,12.0,1977,10,25,1,1970,1,1,3,False,False,True,False
131,132,12,1937,6,3,3,2,1231.15,161.6,38216.0,1,69.0,132,3,2,19.0,1974,1,8,1,1970,1,1,3,False,False,False,False
132,133,93,1282,6,3,3,2,1065.03,230.09,37539.0,1,99.0,124,1,0,14.0,1980,11,15,5,1970,1,1,3,True,False,True,False
133,134,78,2183,0,3,3,1,1765.3,709.48,33429.0,0,61.0,125,5,2,7.0,1972,2,7,0,1970,1,1,3,True,False,False,False
134,135,84,1788,0,2,3,2,792.9,594.68,38859.0,0,79.0,5,2,1,10.0,1964,8,10,0,1970,1,1,3,True,False,False,False
135,136,65,1170,6,3,3,2,1807.45,778.69,42105.0,0,62.0,24,4,2,4.0,1964,11,30,0,1970,1,1,3,True,False,True,False
136,137,0,431,1,1,0,0,1942.61,556.0469512209312,38199.77654900773,1,8.0,141,3,0,18.0,1956,3,26,0,1970,1,1,3,True,False,False,False
137,138,29,1940,6,3,3,2,1065.03,230.09,36833.0,0,52.0,181,5,1,8.0,1977,3,2,2,1970,1,1,3,True,False,False,False
138,139,32,2073,0,3,1,2,1179.0,707.4,36833.0,0,87.0,106,5,1,10.0,1974,1,30,2,1970,1,1,3,True,False,False,True
139,140,11,462,0,3,1,2,1274.93,764.96,42560.0,0,32.0,106,5,0,5.0,1960,1,1,4,1970,1,1,3,True,False,False,False
140,141,10,2728,4,3,3,2,1945.43,333.18,37499.0,0,55.0,119,4,1,19.0,1959,3,26,3,1970,1,1,3,False,False,False,False
141,142,46,2053,4,3,2,2,1289.85,74.51,41064.0,1,7.0,106,2,0,11.0,1978,5,28,6,1970,1,1,3,True,False,False,False
142,143,60,2135,0,3,1,3,1977.36,1759.85,41047.0,1,97.0,175,6,2,15.0,1980,9,18,3,1970,1,1,3,True,False,True,False
143,144,92,1217,6,4,3,1,1890.39,260.14,33259.0,0,67.0,175,5,1,16.0,1968,8,19,0,1970,1,1,3,False,False,False,False
144,145,7,2992,5,2,2,2,980.37,234.43,38693.0,0,26.0,42,3,2,10.0,1974,5,31,4,1970,1,1,3,True,False,True,False
145,146,41,3261,4,2,3,2,416.98,312.74,35560.0,1,6.0,106,7,2,5.0,1975,1,30,3,1970,1,1,3,True,False,True,False
146,147,67,2748,2,2,3,2,544.05,376.84,38647.0,0,96.0,132,2,2,4.0,1967,8,29,1,1970,1,1,3,False,False,True,False
147,148,14,3262,5,3,3,3,1386.84,1234.29,37838.0,1,65.0,120,1,2,12.0,1959,10,14,2,1970,1,1,3,False,False,False,False
148,149,89,788,6,4,3,1,1362.99,57.74,34079.0,1,62.0,154,3,2,11.0,1964,7,1,2,1970,1,1,3,False,False,False,False
149,150,9,3067,3,2,3,2,742.54,667.4,34586.0,0,8.0,40,5,2,9.0,1991,1,13,6,1970,1,1,3,True,False,True,False
150,151,31,701,0,3,3,2,230.91,173.18,37698.0,1,18.0,74,3,2,8.0,1956,5,1,1,1970,1,1,3,True,False,False,False
151,152,92,648,6,3,3,3,1415.01,1259.36,36833.0,1,86.0,7,2,2,9.0,1978,6,4,6,1970,1,1,3,True,False,False,False
152,153,37,3286,3,3,2,2,1793.43,248.82,36361.0,1,23.0,23,1,2,20.0,1961,6,2,4,1970,1,1,3,False,False,True,False
153,154,3,3383,5,3,3,1,2091.47,388.92,40784.0,1,47.0,73,2,0,10.0,1982,4,5,0,1970,1,1,3,True,False,True,False
154,155,56,982,2,0,2,3,688.63,612.88,42404.0,1,14.0,80,3,1,6.0,1960,2,12,4,1970,1,1,3,True,False,True,False
155,156,14,676,4,3,1,1,1842.92,1105.75,37873.0,1,51.0,150,6,1,14.0,1968,5,19,6,1970,1,1,3,True,False,True,False
156,157,6,385,4,3,1,2,748.17,448.9,42105.0,1,69.0,130,3,1,9.0,1966,12,7,2,1970,1,1,3,False,False,True,False
157,158,50,1229,6,3,3,3,175.89,131.92,39915.0,1,38.0,75,5,0,1.0,2000,1,8,5,1970,1,1,3,True,False,True,False
158,159,10,3232,6,4,3,2,1466.68,363.25,41345.0,0,7.0,117,2,2,9.0,1993,10,10,6,1970,1,1,3,True,False,False,False
159,160,0,3300,1,1,0,0,1656.86,556.0469512209312,38199.77654900773,1,47.0,71,8,2,14.0,1961,5,22,0,1970,1,1,3,False,False,False,False
160,161,69,2381,0,2,3,2,792.9,594.68,42105.0,0,91.0,126,0,0,5.0,1973,2,12,0,1970,1,1,3,True,False,False,False
161,162,78,371,0,3,3,1,1765.3,709.48,38193.0,1,7.0,178,2,2,7.0,1954,7,6,1,1970,1,1,3,False,False,False,False
162,163,80,2519,3,4,2,2,1073.07,933.84,42226.0,1,76.0,149,5,2,5.0,1979,10,17,2,1970,1,1,3,True,False,True,False
163,164,17,2264,4,3,1,2,1024.66,614.8,35378.0,0,18.0,110,3,0,9.0,1972,7,17,0,1970,1,1,3,False,False,False,False
164,165,3,2637,5,3,3,1,2091.47,388.92,38573.0,0,28.0,87,8,2,11.0,1972,7,30,6,1970,1,1,3,True,False,True,False
165,166,78,3262,0,3,3,1,1765.3,709.48,38193.0,1,65.0,120,1,2,12.0,1959,10,14,2,1970,1,1,3,False,False,False,False
166,167,90,3177,2,3,2,2,363.01,290.41,38482.0,1,93.0,54,6,0,6.0,1978,5,7,6,1970,1,1,3,False,False,False,False
167,168,87,2267,0,3,1,2,1179.0,707.4,35667.0,0,78.0,38,6,0,14.0,1964,4,28,1,1970,1,1,3,False,False,False,False
168,169,97,456,4,3,3,1,202.62,151.96,38002.0,1,47.0,26,5,0,17.0,1975,11,30,6,1970,1,1,3,True,False,False,False
169,170,6,404,3,3,1,2,227.88,136.73,37838.0,1,92.0,78,2,0,4.0,1995,12,17,6,1970,1,1,3,True,False,False,False
170,171,100,3121,2,2,3,2,1036.59,206.35,33364.0,1,82.0,50,5,2,19.0,1959,5,11,0,1970,1,1,3,False,False,False,False
171,172,55,2365,5,2,3,1,1894.19,598.76,33259.0,0,2.0,174,0,2,3.0,1998,10,18,6,1970,1,1,3,True,False,True,False
172,173,100,2528,2,2,3,2,1036.59,206.35,33364.0,1,81.0,150,2,0,15.0,1978,9,23,5,1970,1,1,3,False,False,False,False
173,174,10,3151,6,4,3,2,1466.68,363.25,34586.0,2,20.0,149,4,0,10.683238709017441,1977,8,31,2,1970,1,1,3,True,False,False,False
174,175,25,3241,0,2,3,2,1538.99,829.65,42696.0,1,34.0,37,5,2,16.0,1979,10,29,0,1970,1,1,3,True,False,False,False
175,176,74,1335,6,3,3,2,1228.07,400.91,37873.0,0,57.0,106,1,2,3.0,1997,8,14,3,1970,1,1,3,True,False,True,False
176,177,90,2234,2,3,2,2,363.01,290.41,38482.0,1,48.0,64,5,2,18.0,1986,9,9,1,1970,1,1,3,False,False,False,False
177,178,56,3226,3,3,3,2,183.86,137.9,35707.0,0,43.0,106,1,0,11.0,1973,3,29,3,1970,1,1,3,False,False,True,False
178,179,62,1365,4,3,3,2,478.16,298.72,34143.0,1,97.0,140,3,2,3.0,1992,4,19,6,1970,1,1,3,False,False,False,False
179,180,20,3349,5,3,3,3,1775.81,1580.47,40303.0,1,11.0,62,0,0,9.0,1981,1,22,3,1970,1,1,3,False,False,True,False
180,181,17,1002,4,3,1,2,1024.66,614.8,40670.0,1,65.0,38,6,2,18.0,1978,8,30,2,1970,1,1,3,True,False,False,False
181,182,16,2282,2,3,1,3,1661.92,1479.11,41345.0,1,81.0,151,2,0,7.0,1957,2,25,0,1970,1,1,3,True,False,False,False
182,183,46,2656,4,3,2,2,1289.85,74.51,41064.0,0,80.0,172,6,2,10.0,1959,5,2,5,1970,1,1,3,True,False,False,False
183,184,71,2409,4,3,1,1,1842.92,1105.75,34996.0,0,23.0,106,3,2,12.0,1989,7,13,3,1970,1,1,3,False,False,True,False
184,185,91,1711,6,3,2,2,642.31,513.85,38193.0,0,81.0,106,5,1,7.0,1993,9,26,6,1970,1,1,3,True,False,False,False
185,186,17,2582,4,3,1,2,1024.66,614.8,35378.0,1,98.0,62,3,2,7.0,1977,8,10,2,1970,1,1,3,False,False,True,False
186,187,1,1005,0,4,3,1,1873.97,863.95,37873.0,0,94.0,56,4,1,8.0,1967,9,15,4,1970,1,1,3,True,False,True,False
